No.,Taxpayer.,"Permit No","Business Name",Particulars,"TOP NO",O.R.Number,Date,Amount,Details,Status,Cashier
1,"Jovenal Hernandez Asas",,"Planning And Development Fee",000052,4970763,"Oct 09, 2023",1900,1900,active,"Olga M. Berdon"
2,"Eddie Geocada Madrona",,"Planning And Development Fee",000057,4970764,"Oct 09, 2023",1900,1900,active,"Olga M. Berdon"
3,"Rogelmar Gumolon Denopol",,"Community Tax Certificate",,25498603,"Oct 09, 2023",150,150,active,"Olga M. Berdon"
4,"Rogelmar Gumolon Denopol",,"Community Tax Certificate",,25498604,"Oct 09, 2023",101,101,active,"Olga M. Berdon"
5,"Genesis  Vargas",,"Engineering Fee",000298,4970701,"Oct 10, 2023",16533,16533,active,"Susan Fajardo"
6,"Darwin A. Castillo",,"Planning And Development Fee",000303,4970765,"Oct 10, 2023",7800,7800,active,"Olga M. Berdon"
7,"Imelda  Velasquez",,"Occupancy Fee",000019,4970766,"Oct 10, 2023",450,450,active,"Olga M. Berdon"
8,"Mahesh Balaso Mistry",,"Planning And Development Fee",000299,4970767,"Oct 10, 2023",240,240,active,"Olga M. Berdon"
9,"Genesis  Vargas",,"Occupancy Fee",000301,4970768,"Oct 10, 2023",3250,3250,active,"Olga M. Berdon"
10,"Machindra Sopan Gavade",,"Engineering Fee",000307,4970769,"Oct 10, 2023",4600.5,4600.5,active,"Olga M. Berdon"
11,"Genesis  Vargas",,"Occupancy Fee",000306,4970770,"Oct 10, 2023",650,650,active,"Olga M. Berdon"
12,"Genesis  Vargas",,"Community Tax Certificate",,25498605,"Oct 10, 2023",4601,4601,active,"Olga M. Berdon"
13,"Rogelmar Gumolon Denopol",,"Real Property Tax Fee",,9938520,"Oct 10, 2023",0,0,active,"Olga M. Berdon"
14,"Eddie Geocada Madrona",,"Planning And Development Fee",000311,4970771,"Oct 10, 2023",8298.52,8298.52,active,"Olga M. Berdon"
15,"Rogelmar Gumolon Denopol",,"Real Property Tax Fee",000312,9938521,"Oct 10, 2023",0,0,active,"Olga M. Berdon"
16,"Rogelmar Gumolon Denopol",,"Real Property Tax Fee",000313,9938522,"Oct 10, 2023",0,0,active,"Olga M. Berdon"
17,"Rogelmar Gumolon Denopol",,"Real Property Tax Fee",000314,9938523,"Oct 10, 2023",0,0,Cancelled,"Olga M. Berdon"
18,"Rogelmar Gumolon Denopol",,"Community Tax Certificate",,25498606,"Oct 10, 2023",750,750,active,"Olga M. Berdon"
19,"Rogelmar Gumolon Denopol",,"Community Tax Certificate",,25498607,"Oct 10, 2023",501,501,active,"Olga M. Berdon"
20,"Rogelmar Gumolon Denopol",,"Community Tax Certificate",,25498609,"Oct 10, 2023",1001,1001,active,"Olga M. Berdon"
21,"Rogelmar Gumolon Denopol",,"Community Tax Certificate",,25498701,"Oct 10, 2023",1201,1201,active,"Olga M. Berdon"
22,"Rogelmar Gumolon Denopol",,"Community Tax Certificate",,25498702,"Oct 10, 2023",1251,1251,Cancelled,"Olga M. Berdon"
23,"Amit Malik Pawar",Entrance,"Business Permit Fee",000256,4970772,"Oct 10, 2023",6950,6950,Cancelled,"Olga M. Berdon"
24,"  demo",,"Cemetery Application",000315,4970773,"Oct 10, 2023",1500,1500,active,"Olga M. Berdon"
25,"Imelda  Velasquez",,"Planning And Development Fee",000317,4970775,"Oct 10, 2023",18000,18000,active,"Olga M. Berdon"
26,"John D Joconchi","Acer Corporation","Business Permit Fee",000088,4970776,"Oct 10, 2023",12400,12400,Cancelled,"Olga M. Berdon"
27,"  demo",,"Cemetery Application",000319,4970777,"Oct 10, 2023",1540,1540,active,"Olga M. Berdon"
28,"Ryan Santos Franco",,"Engineering Fee",000318,4970779,"Oct 10, 2023",3200,3200,active,"Olga M. Berdon"
29,"Ryan Santos Franco",,"Occupancy Fee",000321,4970780,"Oct 10, 2023",2000,2000,active,"Olga M. Berdon"
30,"Imelda  Velasquez",,"Community Tax Certificate",,25498703,"Oct 10, 2023",100,100,active,"Olga M. Berdon"
31,"Sambaji Namdev Pawar",,"Cemetery Application",000316,4970783,"Oct 10, 2023",2500,2500,active,"Olga M. Berdon"
32,"Ma. Larah Alvare Fajardo",,"Cemetery Application",000322,4970784,"Oct 10, 2023",1650,1650,active,"Olga M. Berdon"
33,"Ma. Larah Alvare Fajardo",,"Cemetery Application",000322,4970785,"Oct 10, 2023",5562.5,5562.5,active,"Olga M. Berdon"
34,"Amit Malik Pawar",Entrance,"Business Permit Fee",000256,4970786,"Oct 10, 2023",6950,6950,active,"Olga M. Berdon"
35,"Sania Abbas Mirza","Nex Jet","Business Permit Fee",000324,4970787,"Oct 10, 2023",21300,21300,Cancelled,"Olga M. Berdon"
36,"Ryan Santos Franco",,"Planning And Development Fee",000325,4970788,"Oct 11, 2023",15000,15000,Cancelled,"Olga M. Berdon"
37,"Machindra Sopan Gavade",,"Planning And Development Fee",000326,4970789,"Oct 11, 2023",1500,1500,active,"Olga M. Berdon"
38,"Jovenal Hernandez Asas",,"Engineering Fee",000327,4970790,"Oct 11, 2023",2200,2200,active,"Olga M. Berdon"
39,"JUAN  DELA CRUZ",,"Certification/Medical Fee",,4970791,"Oct 11, 2023",100,100,active,"Olga M. Berdon"
40,"Ramon S Ang",,"Community Tax Certificate",,25498704,"Oct 11, 2023",1000,1000,active,"Olga M. Berdon"
41,"Safik demo safik",,"Engineering Fee",000328,4970792,"Oct 11, 2023",3075,3075,active,"Olga M. Berdon"
42,"Ma. Larah Alvare Fajardo",,,,2674356,"Oct 11, 2023",100,100,active,"Olga M. Berdon"
43,"Ma. Larah Alvare Fajardo",,,,2674357,"Oct 11, 2023",100,100,active,"Olga M. Berdon"
44,"Grace Darlene Ermita Denopol",,"Cert. of No Improv'ts.",,4970794,"Oct 11, 2023",100,100,active,"Olga M. Berdon"
45,"Sonali Mahadev Khamkar",,"Planning And Development Fee",000332,4970702,"Oct 11, 2023",486,486,active,"Susan Fajardo"
46,"John Y Samsung","Official Receipt Inc.","Business Permit Fee",000334,4970795,"Oct 11, 2023",12950,12950,active,"Olga M. Berdon"
47,"John D Joconchi","Station Moving","Business Permit Fee",000335,4970796,"Oct 11, 2023",17050,17050,Cancelled,"Olga M. Berdon"
48,"Sambaji Namdev Pawar",,"Certification/Medical Fee",,4970704,"Oct 11, 2023",100,100,active,"Susan Fajardo"
49,"ITCHIGO  KOROSAKI",,"Certification/Medical Fee",,4970705,"Oct 11, 2023",100,100,active,"Susan Fajardo"
50,"fred c leon",,"Laboratory Request",000336,4970706,"Oct 11, 2023",100,100,active,"Susan Fajardo"
51,"Grace Darlene Ermita Denopol",,"Cert. of No Improv'ts.",,4970707,"Oct 11, 2023",100,100,active,"Susan Fajardo"
52,"Machindra Sopan Gavade",,"Engineering Fee",000007,4970797,"Oct 11, 2023",4600.5,4600.5,active,"Olga M. Berdon"
53,"Ryan Santos Franco",,"Engineering Fee",000009,4970798,"Oct 11, 2023",3200,3200,active,"Olga M. Berdon"
54,"Darwin A. Castillo","Samgy Sutara Samgyupsal House","Business Permit Fee",000174,4970799,"Oct 11, 2023",44,44,active,"Olga M. Berdon"
55,"John D Joconchi","Station Moving","Business Permit Fee",000335,4970800,"Oct 11, 2023",17050,17050,Cancelled,"Olga M. Berdon"
56,"John D Joconchi","Station Moving","Business Permit Fee",000335,4970851,"Oct 11, 2023",17050,17050,Cancelled,"Olga M. Berdon"
57,"John D Joconchi","Station Moving","Business Permit Fee",000335,4970852,"Oct 11, 2023",17050,17050,Cancelled,"Olga M. Berdon"
58,"John D Joconchi","Station Moving","Business Permit Fee",000335,4970853,"Oct 11, 2023",17050,17050,Cancelled,"Olga M. Berdon"
59,"Safik demo safik",,"Engineering Fee",000340,4970709,"Oct 11, 2023",1366,1366,active,"Susan Fajardo"
60,"Mahesh Balaso Mistry",,"Engineering Fee",000341,4970710,"Oct 11, 2023",677,677,active,"Susan Fajardo"
61,"M. D. Karanjade",,"Engineering Fee",000342,4970711,"Oct 11, 2023",1087,1087,active,"Susan Fajardo"
62,"Machindra Sopan Gavade",,"Engineering Fee (Demolition Permit)",000343,4970712,"Oct 11, 2023",1182,1182,active,"Susan Fajardo"
63,"Machindra Sopan Gavade",,"Engineering Fee (Demolition Permit)",000344,4970713,"Oct 11, 2023",1500,1500,active,"Susan Fajardo"
64,"Machindra Sopan Gavade",,"Engineering Fee",000345,4970714,"Oct 11, 2023",500,500,active,"Susan Fajardo"
